two_theta_deg,intensity
7.159999999999953957e+00,1.375634118624435359e+03
7.179999999999953531e+00,1.379655359159062073e+03
7.199999999999953104e+00,1.383694854033132970e+03
7.219999999999952678e+00,1.387752716051715879e+03
7.239999999999952252e+00,1.391829058902951374e+03
7.259999999999951825e+00,1.395923997166423305e+03
7.279999999999951399e+00,1.400037646321629381e+03
7.299999999999950973e+00,1.404170122756537467e+03
7.319999999999950546e+00,1.408321543776246244e+03
7.339999999999950120e+00,1.412492027611737285e+03
7.359999999999949694e+00,1.416681693428728522e+03
7.379999999999949267e+00,1.420890661336622770e+03
7.399999999999948841e+00,1.425119052397562882e+03
7.419999999999948415e+00,1.429366988635585130e+03
7.439999999999947988e+00,1.433634593045875135e+03
7.459999999999947562e+00,1.437921989604130658e+03
7.479999999999947136e+00,1.442229303276032624e+03
7.499999999999946709e+00,1.446556660026816644e+03
7.519999999999946283e+00,1.450904186830959361e+03
7.539999999999945857e+00,1.455272011681973709e+03
7.559999999999945430e+00,1.459660263602314444e+03
7.579999999999945004e+00,1.464069072653398507e+03
7.599999999999944578e+00,1.468498569945737927e+03
7.619999999999944151e+00,1.472948887649192102e+03
7.639999999999943725e+00,1.477420159003333310e+03
7.659999999999943299e+00,1.481912518327936823e+03
7.679999999999942872e+00,1.486426101033587656e+03
7.699999999999942446e+00,1.490961043632408973e+03
7.719999999999942020e+00,1.495517483748921450e+03
7.739999999999941593e+00,1.500095560131019738e+03
7.759999999999941167e+00,1.504695412661079445e+03
7.779999999999940741e+00,1.509317182367197347e+03
7.799999999999940314e+00,1.513961011434556212e+03
7.819999999999939888e+00,1.518627043216924903e+03
7.839999999999939462e+00,1.523315422248292634e+03
7.859999999999939035e+00,1.528026294254640334e+03
7.879999999999938609e+00,1.532759806165847522e+03
7.899999999999938183e+00,1.537516106127741068e+03
7.919999999999937756e+00,1.542295343514285605e+03
7.939999999999937330e+00,1.547097668939914456e+03
7.959999999999936904e+00,1.551923234272010859e+03
7.979999999999936477e+00,1.556772192643533572e+03
7.999999999999936051e+00,1.561644698465792544e+03
8.019999999999935625e+00,1.566540907441376703e+03
8.039999999999935199e+00,1.571460976577233623e+03
8.059999999999934772e+00,1.576405064197908587e+03
8.079999999999934346e+00,1.581373329958936665e+03
8.099999999999933920e+00,1.586365934860399420e+03
8.119999999999933493e+00,1.591383041260640766e+03
8.139999999999933067e+00,1.596424812890148360e+03
8.159999999999932641e+00,1.601491414865599836e+03
8.179999999999932214e+00,1.606583013704083442e+03
8.199999999999931788e+00,1.611699777337483056e+03
8.219999999999931362e+00,1.616841875127041476e+03
8.239999999999930935e+00,1.622009477878099005e+03
8.259999999999930509e+00,1.627202757855008031e+03
8.279999999999930083e+00,1.632421888796233588e+03
8.299999999999929656e+00,1.637667045929633105e+03
8.319999999999929230e+00,1.642938405987923261e+03
8.339999999999928804e+00,1.648236147224338083e+03
