two_theta_deg,intensity
2.615999999999986869e+01,2.257555034959333966e+02
2.617999999999986827e+01,2.262378441236185722e+02
2.619999999999986784e+01,2.267217878900814867e+02
2.621999999999986741e+01,2.272073420407714082e+02
2.623999999999986699e+01,2.276945138625704885e+02
2.625999999999986656e+01,2.281833106840807943e+02
2.627999999999986613e+01,2.286737398759127871e+02
2.629999999999986571e+01,2.291658088509772710e+02
2.631999999999986528e+01,2.296595250647788475e+02
2.633999999999986485e+01,2.301548960157119836e+02
2.635999999999986443e+01,2.306519292453596677e+02
2.637999999999986400e+01,2.311506323387944803e+02
2.639999999999986358e+01,2.316510129248820249e+02
2.641999999999986315e+01,2.321530786765866594e+02
2.643999999999986272e+01,2.326568373112802135e+02
2.645999999999986230e+01,2.331622965910528933e+02
2.647999999999986187e+01,2.336694643230266593e+02
2.649999999999986144e+01,2.341783483596716451e+02
2.651999999999986102e+01,2.346889565991245092e+02
2.653999999999986059e+01,2.352012969855101403e+02
2.655999999999986017e+01,2.357153775092655223e+02
2.657999999999985974e+01,2.362312062074662435e+02
2.659999999999985931e+01,2.367487911641562732e+02
2.661999999999985889e+01,2.372681405106797001e+02
2.663999999999985846e+01,2.377892624260158811e+02
2.665999999999985803e+01,2.383121651371168923e+02
2.667999999999985761e+01,2.388368569192481630e+02
2.669999999999985718e+01,2.393633460963317816e+02
2.671999999999985675e+01,2.398916410412924449e+02
2.673999999999985633e+01,2.404217501764068459e+02
2.675999999999985590e+01,2.409536819736553639e+02
2.677999999999985548e+01,2.414874449550771374e+02
2.679999999999985505e+01,2.420230476931279497e+02
2.681999999999985462e+01,2.425604988110411000e+02
2.683999999999985420e+01,2.430998069831914279e+02
2.685999999999985377e+01,2.436409809354621245e+02
2.687999999999985334e+01,2.441840294456150104e+02
2.689999999999985292e+01,2.447289613436636841e+02
2.691999999999985249e+01,2.452757855122497119e+02
2.693999999999985207e+01,2.458245108870224840e+02
2.695999999999985164e+01,2.463751464570217706e+02
2.697999999999985121e+01,2.469277012650637744e+02
2.699999999999985079e+01,2.474821844081301947e+02
2.701999999999985036e+01,2.480386050377613287e+02
2.703999999999984993e+01,2.485969723604514172e+02
2.705999999999984951e+01,2.491572956380481969e+02
2.707999999999984908e+01,2.497195841881557214e+02
2.709999999999984865e+01,2.502838473845402518e+02
2.711999999999984823e+01,2.508500946575399553e+02
2.713999999999984780e+01,2.514183354944781854e+02
2.715999999999984738e+01,2.519885794400797181e+02
2.717999999999984695e+01,2.525608360968914781e+02
2.719999999999984652e+01,2.531351151257061360e+02
2.721999999999984610e+01,2.537114262459895144e+02
2.723999999999984567e+01,2.542897792363120288e+02
2.725999999999984524e+01,2.548701839347831424e+02
2.727999999999984482e+01,2.554526502394904526e+02
2.729999999999984439e+01,2.560371881089420754e+02
2.731999999999984396e+01,2.566238075625124679e+02
2.733999999999984354e+01,2.572125186808932540e+02
2.735999999999984311e+01,2.578033316065465215e+02
2.737999999999984269e+01,2.583962565441635206e+02
2.739999999999984226e+01,2.589913037611261757e+02
2.741999999999984183e+01,2.595884835879732009e+02
2.743999999999984141e+01,2.601878064188702524e+02
2.745999999999984098e+01,2.607892827120840025e+02
2.747999999999984055e+01,2.613929229904605336e+02
2.749999999999984013e+01,2.619987378419077686e+02
2.751999999999983970e+01,2.626067379198822778e+02
2.753999999999983928e+01,2.632169339438802353e+02
2.755999999999983885e+01,2.638293366999328100e+02
2.757999999999983842e+01,2.644439570411059321e+02
2.759999999999983800e+01,2.650608058880040971e+02
2.761999999999983757e+01,2.656798942292792276e+02
2.763999999999983714e+01,2.663012331221435716e+02
2.765999999999983672e+01,2.669248336928872050e+02
2.767999999999983629e+01,2.675507071374005363e+02
2.769999999999983586e+01,2.681788647217004495e+02
2.771999999999983544e+01,2.688093177824624718e+02
2.773999999999983501e+01,2.694420777275568071e+02
2.775999999999983459e+01,2.700771560365889741e+02
2.777999999999983416e+01,2.707145642614457870e+02
2.779999999999983373e+01,2.713543140268461684e+02
2.781999999999983331e+01,2.719964170308970210e+02
2.783999999999983288e+01,2.726408850456527375e+02
2.785999999999983245e+01,2.732877299176821566e+02
2.787999999999983203e+01,2.739369635686381912e+02
2.789999999999983160e+01,2.745885979958343341e+02
2.791999999999983118e+01,2.752426452728252571e+02
2.793999999999983075e+01,2.758991175499929795e+02
2.795999999999983032e+01,2.765580270551388367e+02
2.797999999999982990e+01,2.772193860940798800e+02
2.799999999999982947e+01,2.778832070512513042e+02
2.801999999999982904e+01,2.785495023903141032e+02
2.803999999999982862e+01,2.792182846547688087e+02
2.805999999999982819e+01,2.798895664685733777e+02
2.807999999999982776e+01,2.805633605367682435e+02
2.809999999999982734e+01,2.812396796461063673e+02
2.811999999999982691e+01,2.819185366656890892e+02
2.813999999999982649e+01,2.825999445476076630e+02
2.815999999999982606e+01,2.832839163275907595e+02
2.817999999999982563e+01,2.839704651256583929e+02
2.819999999999982521e+01,2.846596041467807368e+02
2.821999999999982478e+01,2.853513466815441575e+02
2.823999999999982435e+01,2.860457061068225926e+02
2.825999999999982393e+01,2.867426958864553512e+02
2.827999999999982350e+01,2.874423295719314524e+02
2.829999999999982307e+01,2.881446208030796470e+02
2.831999999999982265e+01,2.888495833087655456e+02
2.833999999999982222e+01,2.895572309075944872e+02
2.835999999999982180e+01,2.902675775086214571e+02
2.837999999999982137e+01,2.909806371120675976e+02
2.839999999999982094e+01,2.916964238100426314e+02
2.841999999999982052e+01,2.924149517872751858e+02
2.843999999999982009e+01,2.931362353218490284e+02
2.845999999999981966e+01,2.938602887859462953e+02
2.847999999999981924e+01,2.945871266465981648e+02
2.849999999999981881e+01,2.953167634664418415e+02
2.851999999999981839e+01,2.960492139044853843e+02
2.853999999999981796e+01,2.967844927168788445e+02
2.855999999999981753e+01,2.975226147576938160e+02
2.857999999999981711e+01,2.982635949797089552e+02
2.859999999999981668e+01,2.990074484352039121e+02
2.861999999999981625e+01,2.997541902767604824e+02
2.863999999999981583e+01,3.005038357580711477e+02
2.865999999999981540e+01,3.012564002347552901e+02
2.867999999999981497e+01,3.020118991651835927e+02
2.869999999999981455e+01,3.027703481113096018e+02
2.871999999999981412e+01,3.035317627395094746e+02
2.873999999999981370e+01,3.042961588214300832e+02
2.875999999999981327e+01,3.050635522348444510e+02
